"","clusterresults$cluster"
"1853",4
"1097",4
"65",5
"1762",2
"1016",2
"1511",3
"1404",4
"1027",2
"729",3
"751",1
"121",1
"628",5
"2117",5
"1317",2
"1349",3
"277",5
"1891",1
"2139",4
"1112",5
"1861",5
"908",4
"1345",1
"2030",2
"1449",3
"2310",5
"420",4
"431",1
"550",2
"2146",3
"256",3
"2329",5
"1833",1
"720",3
"1230",2
"139",4
"1099",5
"1397",1
"1378",5
"2109",1
"2307",2
"1103",3
"610",4
"1543",4
"1373",3
"1375",5
"1428",3
"2242",1
"1588",2
"1193",2
"1553",2
"568",2
"1731",5
"1860",1
"163",3
"24",1
"2347",1
"493",3
"306",1
"862",1
"413",1
"616",1
"1074",1
"1114",4
"1031",5
"12",4
"1245",1
"1354",3
"710",5
"530",1
"1663",1
"1564",4
"2382",3
"1289",2
"1248",3
"1687",1
"2123",3
"999",1
"852",4
"31",1
"245",4
"1138",4
"646",2
"453",3
"842",1
"1162",5
"2225",1
"2078",3
"519",4
"1572",5
"1755",2
"2038",2
"1611",3
"1091",5
"269",1
"1371",1
"1576",2
"324",1
"1390",5
"133",1
"2006",4
"2224",5
"1530",5
"989",1
"596",5
"1312",2
"1608",1
"2282",3
"1049",5
"1110",3
"437",5
"2176",1
"792",3
"1329",4
"2053",3
"1149",2
"767",1
"1000",1
"1882",5
"1330",4
"1603",4
"567",5
"2227",5
"483",3
"1771",3
"145",5
"1021",5
"740",5
"535",4
"1830",2
"547",1
"2013",2
"776",3
"704",3
"1932",3
"1464",3
"298",4
"500",2
"688",1
"1715",2
"1408",5
"1164",1
"266",1
"142",1
"1438",3
"8",1
"870",5
"114",1
"1674",1
"1698",1
"2040",5
"514",5
"687",5
"88",5
"320",1
"2125",2
"1083",1
"2095",1
"1906",3
"480",1
"777",5
"1143",1
"135",1
"641",1
"505",3
"1458",3
"1088",1
"1909",3
"1353",1
"364",2
"1557",1
"2246",5
"1325",1
"1421",5
"1642",3
"2297",2
"2322",4
"1779",1
"2264",1
"2312",1
"2180",3
"931",4
"263",3
"1778",1
"35",5
"887",1
"110",1
"262",5
"910",4
"1023",1
"679",4
"797",2
"2074",1
"23",3
"361",2
"2160",5
"565",2
"2386",5
"1287",5
"2076",3
"1581",4
"1720",5
"1340",5
"1500",5
"1476",1
"215",1
"1435",5
"2208",5
"72",5
"975",5
"763",2
"1960",1
"1171",2
"2374",3
"1842",4
"1785",5
"1700",5
"2255",5
"1529",1
"2035",2
"771",5
"993",3
"1571",3
"1691",1
"230",1
"2091",5
"2360",1
"2183",3
"1689",1
"591",1
"1071",5
"2353",3
"1217",3
"180",5
"1998",5
"1613",4
"800",4
"430",3
"240",3
"680",3
"15",2
"1589",2
"414",3
"44",4
"1843",1
"355",2
"214",5
"243",4
"267",4
"2069",2
"625",1
"1829",4
"1450",3
"714",1
"1528",1
"1533",2
"1671",5
"1047",1
"492",5
"1870",1
"1527",1
"1418",2
"404",5
"274",5
"2260",1
"1794",1
"1954",4
"1536",4
"1314",1
"36",2
"1009",2
"2252",2
"1545",5
"1921",3
"442",3
"799",5
"1640",3
"2221",2
"1286",4
"1648",3
"1264",1
"1368",3
"1987",2
"1184",1
"2081",1
"411",1
"1122",2
"1185",1
"1684",4
"1269",5
"323",5
"1017",4
"5",2
"753",5
"285",1
"1202",4
"1951",4
"1646",5
"2022",1
"99",4
"216",1
"676",5
"2366",5
"196",4
"282",5
"725",5
"182",4
"1662",1
"566",3
"2135",3
"2151",5
"2164",3
"1970",2
"711",5
"393",4
"570",4
"2351",5
"731",4
"1344",1
"2065",1
"689",5
"1782",3
"381",4
"201",2
"2375",4
"575",3
"905",3
"2051",3
"2232",5
"1178",4
"1028",3
"1643",1
"1552",1
"1076",5
"1694",3
"18",3
"1144",3
"1283",4
"538",1
"937",1
"1377",3
"93",1
"107",1
"992",1
"1347",1
"2338",5
"348",1
"239",4
"1180",1
"450",4
"1862",3
"2086",1
"1874",4
"290",5
"2070",5
"98",5
"1342",4
"599",2
"2303",1
"1814",2
"1008",3
"339",1
"1704",1
"1895",3
"1863",1
"95",3
"859",5
"313",2
"1030",1
"721",4
"521",3
"2020",4
"1109",1
"1320",4
"1981",5
"518",1
"1229",4
"996",1
"1319",5
"1461",3
"552",1
"1490",1
"1324",5
"1265",2
"2281",3
"315",1
"2042",1
"804",3
"1577",4
"436",4
"2178",3
"2075",3
"1308",1
"1316",3
"1946",4
"349",1
"1837",3
"2285",5
"841",1
"1803",5
"2265",2
"153",2
"772",4
"268",2
"28",2
"2211",5
"311",4
"42",1
"2008",5
"1115",1
"1246",1
"382",3
"786",1
"1038",3
"428",3
"829",1
"1220",2
"1095",2
"634",3
"105",1
"1036",4
"45",3
"472",5
"1370",2
"417",3
"1832",5
"353",5
"1744",1
"941",1
"2286",5
"824",3
"765",2
"1791",2
"1905",3
"1292",4
"1170",5
"1910",1
"555",1
"2280",5
"1127",5
"217",5
"1011",1
"589",3
"1524",4
"2294",4
"1261",1
"385",1
"2048",2
"1196",1
"2126",3
"833",5
"2045",5
"358",4
"33",1
"548",1
"2094",2
"1828",3
"308",5
"883",5
"103",3
"334",5
"2083",1
"61",5
"2060",2
"295",1
"1062",3
"470",2
"636",2
"678",5
"389",2
"2079",5
"1809",2
"949",5
"562",2
"1835",1
"1477",2
"1518",1
"814",1
"757",3
"2056",1
"1658",1
"1953",4
"1884",3
"1296",3
"684",3
"593",3
"1498",2
"1439",3
"87",3
"2335",1
"2364",2
"1140",3
"388",2
"1918",3
"377",3
"463",1
"1431",4
"1826",1
"933",3
"549",5
"1436",2
"1417",5
"907",5
"1917",1
"672",2
"1063",2
"913",1
"1633",2
"1507",1
"921",1
"1784",4
"707",4
"1504",1
"1801",4
"1985",4
"2000",5
"478",5
"1636",4
"2392",1
"1221",4
"750",2
"1411",5
"1606",4
"1399",3
"903",1
"1015",2
"1562",4
"2389",4
"1240",3
"425",1
"302",4
"2084",5
"773",3
"1756",5
"525",1
"1441",5
"1306",4
"2354",3
"2150",5
"330",5
"834",2
"1908",5
"427",3
"1542",3
"1200",5
"979",1
"416",1
"935",1
"1513",1
"2196",5
"1242",5
"1598",2
"272",3
"1783",4
"1253",2
"746",3
"258",4
"378",4
"851",5
"111",4
"1188",3
"554",2
"532",5
"784",3
"791",4
"1123",4
"305",5
"1897",5
"1145",5
"828",2
"167",1
"844",3
"556",1
"1668",1
"247",1
"1414",3
"963",1
"1976",5
"2267",5
"1792",5
"347",1
"2275",1
"1120",1
"326",3
"1685",2
"1827",2
"919",3
"275",5
"1034",5
"940",3
"512",3
"249",2
"545",5
"698",2
"141",2
"2080",5
"294",1
"439",3
"390",1
"332",1
"1260",2
"1510",4
"960",3
"1394",5
"1336",2
"1901",2
"741",5
"370",1
"2014",4
"1931",1
"2368",5
"1288",1
"1750",5
"1732",1
"2296",5
"6",5
"2237",3
"640",3
"1323",3
"508",1
"106",3
"502",2
"2041",2
"1176",5
"1736",2
"1307",1
"1158",1
"1722",5
"950",3
"244",2
"670",1
"2243",1
"1241",1
"418",3
"1080",3
"1488",5
"976",2
"1660",3
"1040",5
"2152",1
"2018",3
"2063",3
"1300",3
"1764",3
"1410",3
"25",2
"1463",1
"2223",1
"1213",2
"1020",5
"1627",1
"1563",1
"1769",5
"1969",1
"581",3
"1799",3
"1346",3
"1569",4
"1159",1
"231",5
"713",1
"869",5
"2044",5
"1726",3
"973",1
"1850",3
"922",5
"2092",3
"1871",3
"1059",3
"1609",5
"2239",1
"761",1
"432",2
"2277",2
"1274",2
"108",3
"1757",3
"1915",5
"864",1
"2395",1
"2034",5
"1415",1
"117",1
"2257",3
"2185",3
"1927",2
"1301",5
"1224",1
"2352",5
"170",5
"2212",5
"860",2
"1923",3
"351",1
"1626",1
"1173",5
"494",3
"1121",1
"668",3
"1749",3
"890",2
"529",3
"329",4
"1494",4
"546",4
"2370",1
"2279",2
"1935",5
"764",5
"1045",1
"1681",3
"317",5
"762",4
"1919",5
"118",5
"179",4
"2226",1
"1266",3
"2166",5
"2011",1
"1894",2
"1866",2
"276",3
"2129",3
"1997",4
"735",1
"1538",4
"51",1
"2097",1
"177",1
"739",4
"601",2
"810",5
"2064",3
"1942",2
"154",2
"2204",1
"124",2
"1724",3
"1332",4
"1070",5
"422",1
"2295",1
"1209",3
"1281",5
"1537",3
"1781",5
"1383",1
"2173",1
"60",1
"2068",2
"2206",2
"1285",2
"17",1
"1760",3
"2359",1
"614",3
"1767",5
"1913",4
"1637",2
"337",5
"648",5
"1454",1
"116",4
"1137",1
"1469",3
"606",2
"1339",3
"553",2
"1920",3
"956",1
"1037",5
"211",4
"1944",5
"541",3
"1151",2
"769",3
"474",3
"2199",5
"234",3
"224",2
"801",1
"2124",3
"1631",4
"52",3
"400",5
"1310",1
"1717",2
"1056",1
"631",5
"2380",1
"1752",3
"1453",5
"140",2
"527",1
"1856",5
"1250",3
"542",1
"350",2
"89",3
"2391",4
"1079",2
"531",2
"1811",4
"1400",3
"373",3
"952",2
"7",4
"2318",5
"1497",1
"405",5
"889",2
"909",3
"1225",4
"2172",5
"2300",1
"2113",4
"1549",5
"498",2
"2039",1
"1197",1
"149",1
"2",5
"1690",5
"840",3
"2107",2
"2122",1
"126",1
"2162",4
"1693",4
"1313",3
"2222",2
"517",4
"703",4
"885",2
"1822",5
"22",1
"40",2
"1506",5
"1005",2
"1437",4
"2096",3
"1661",1
"365",1
"176",2
"2005",2
"367",1
"2016",3
"2121",1
"718",1
"1635",4
"1579",1
"817",1
"1851",2
"2301",1
"1168",1
"918",3
"2194",5
"1492",4
"1729",3
"1840",5
"1567",3
"783",3
"874",1
"1",2
"210",2
"319",1
"730",3
"419",2
"2328",5
"936",4
"2325",2
"1053",1
"2118",4
"583",3
"1282",1
"1899",3
"1270",1
"934",3
"848",1
"1962",3
"876",1
"362",5
"955",2
"2136",5
"1335",1
"39",2
"2021",2
"2036",3
"1787",1
"78",1
"1550",5
"2213",5
"1765",1
"143",3
"644",3
"1502",1
"1619",1
"1462",4
"920",4
"1984",2
"1392",4
"1499",2
"1795",2
"443",5
"1457",1
"187",2
"344",4
"722",5
"223",5
"1010",5
"1366",2
"2100",5
"128",5
"972",3
"1326",1
"984",5
"1381",3
"1666",1
"58",1
"1776",2
"2157",5
"1614",3
"843",2
"1256",2
"1742",3
"879",1
"2012",5
"2171",4
"795",2
"1632",1
"985",1
"1150",5
"1460",3
"845",3
"260",4
"1587",4
"832",1
"882",1
"2385",2
"958",4
"213",2
"322",1
"873",3
"1198",4
"1072",2
"2363",2
"1277",3
"2210",3
"476",5
"137",3
"1147",4
"1578",5
"2238",3
"1391",5
"2266",3
"948",5
"2247",5
"1892",2
"987",1
"2017",1
"1505",5
"1555",3
"1934",2
"2228",1
"380",2
"1940",2
"1790",3
"1939",5
"1039",1
"745",4
"1134",5
"122",2
"2184",5
"1385",1
"1128",3
"1775",4
"1089",2
"194",1
"220",2
"1429",3
"1848",3
"1683",3
"328",5
"2292",3
"691",1
"932",5
"1376",1
"1148",3
"1451",5
"1181",3
"727",1
"630",1
"56",2
"1427",1
"1925",1
"507",1
"1484",1
"1535",3
"48",1
"1055",1
"1183",3
"461",3
"2168",1
"2274",5
"241",2
"1748",4
"854",3
"1667",4
"397",1
"100",2
"1938",4
"897",5
"990",4
"558",5
"92",5
"1508",1
"394",2
"699",4
"811",3
"301",3
"2167",5
"401",1
"1093",5
"1903",2
"446",3
"178",3
"1682",3
"2362",5
"868",2
"716",3
"1967",5
"299",5
"1800",2
"982",1
"1999",3
"375",3
"1195",1
"572",5
"858",4
"820",4
"1187",2
"57",5
"578",1
"1251",4
"655",1
"911",3
"1620",2
"1276",3
"85",3
"835",2
"1841",3
"939",3
"1766",3
"1206",1
"2148",5
"674",1
"577",2
"485",5
"186",1
"2111",1
"1651",4
"1554",5
"2088",5
"173",2
"2379",1
"1565",4
"1638",1
"132",3
"160",1
"2154",1
"696",3
"1131",5
"2082",5
"1745",1
"1029",1
"899",2
"459",2
"2299",1
"1629",4
"41",4
"1192",5
"441",2
"2396",5
"580",2
"2218",3
"1679",4
"994",5
"2087",5
"894",2
"815",4
"807",1
"451",1
"1194",5
"1634",1
"2055",5
"2133",5
"1258",1
"104",1
"1654",2
"206",1
"1971",5
"942",1
"1789",2
"2216",3
"226",3
"200",4
"232",2
"803",1
"192",3
"2215",1
"557",2
"11",5
"1708",4
"981",3
"289",5
"1639",1
"793",2
"2061",1
"2250",1
"602",3
"1125",1
"734",3
"2253",5
"157",5
"1141",5
"1014",2
"1179",4
"406",1
"1521",5
"1424",5
"2207",1
"516",5
"1157",4
"1770",2
"1710",2
"1472",2
"3",2
"1618",5
"1716",3
"2049",5
"1994",1
"2306",1
"1447",3
"64",5
"1602",1
"1574",5
"1992",5
"779",3
"1839",3
"4",1
"218",5
"2388",1
"484",1
"454",2
"1604",2
"857",2
"2026",5
"1356",1
"1952",1
"1077",4
"1290",3
"138",3
"2098",3
"827",3
"101",1
"1858",5
"1153",3
"1585",4
"1189",4
"1406",3
"1949",3
"660",2
"209",2
"1719",3
"509",4
"438",2
"584",2
"312",5
"2332",1
"235",5
"652",2
"1912",5
"1669",4
"692",2
"2197",4
"54",5
"1060",4
"335",2
"410",1
"1166",2
"2241",3
"2340",3
"573",5
"708",5
"152",5
"515",1
"1593",5
"653",1
"465",4
"1205",1
"1922",4
"1869",1
"2323",1
"962",5
"1334",5
"846",4
"1232",2
"667",1
"2182",5
"499",3
"1688",1
"1675",2
"1165",5
"2155",1
"2010",5
"1514",1
"1678",1
"1231",1
"1278",1
"9",1
"802",3
"780",5
"1116",1
"849",1
"2106",3
"2367",1
"1644",2
"1208",5
"195",2
"1207",4
"1012",5
"1175",3
"191",2
"822",1
"80",5
"1252",5
"296",2
"1534",5
"2251",3
"1272",3
"372",2
"1107",3
"1797",4
"264",5
"1154",3
"785",1
"1142",4
"1305",3
"1560",3
"2309",5
"669",2
"2283",1
"489",4
"1384",5
"1713",2
"637",1
"590",2
"278",2
"165",2
"10",3
"457",4
"520",3
"1924",3
"818",2
"238",4
"618",5
"1926",1
"403",5
"1806",1
"2085",1
"1810",2
"1859",4
"466",5
"760",2
"1228",2
"1362",4
"1995",1
"490",4
"700",1
"717",3
"544",1
"1255",1
"1303",3
"2355",5
"1215",1
"1831",3
"915",1
"352",3
"1768",5
"20",5
"1986",5
"464",2
"838",5
"569",1
"102",1
"1707",2
"2289",1
"816",3
"1443",1
"1547",1
"657",5
"2024",1
"1032",5
"424",1
"1321",5
"1203",2
"2293",1
"162",3
"1519",3
"345",4
"94",3
"1054",5
"1073",1
"888",1
"96",1
"1174",1
"1430",5
"1887",1
"144",5
"1900",5
"1877",1
"1413",5
"622",1
"251",2
"966",2
"1445",4
"91",3
"1738",3
"293",2
"904",1
"1257",5
"1136",4
"1612",5
"291",2
"2314",1
"715",2
"1989",5
"998",3
"974",5
"970",2
"1963",2
"2110",5
"1600",5
"242",1
"615",5
"1817",4
"2142",5
"1823",4
"1085",5
"1966",5
"1155",1
"73",3
"798",2
"639",5
"595",3
"663",2
"723",1
"297",1
"732",1
"2177",5
"1284",1
"2169",1
"886",3
"705",5
"288",5
"598",1
"1186",3
"1503",2
"184",2
"666",2
"1139",1
"38",2
"1723",5
"131",1
"929",1
"1133",3
"1050",1
"2384",5
"1480",5
"1961",3
"259",5
"742",3
"677",3
"612",1
"2369",2
"1624",1
"633",1
"701",1
"1468",3
"473",3
"1423",1
"524",2
"1271",2
"2288",1
"1937",5
"588",3
"246",1
"945",5
"586",2
"839",2
"1351",5
"1885",1
"1102",1
"856",3
"1641",4
"190",1
"1446",1
"1982",2
"1466",5
"659",5
"744",2
"197",5
"208",2
"1872",4
"2149",3
"228",3
"386",4
"2371",1
"181",3
"2269",3
"2004",2
"2071",5
"155",5
"357",2
"2320",3
"1596",3
"1104",3
"2104",3
"943",5
"1570",4
"2258",5
"2043",2
"658",1
"412",5
"1721",4
"356",1
"1647",3
"1442",1
"1659",2
"1222",3
"1711",5
"1968",2
"109",3
"526",5
"2236",5
"1199",1
"1035",3
"1586",2
"912",2
"123",5
"55",2
"283",2
"766",2
"127",1
"1930",2
"1279",3
"1955",1
"409",5
"1676",3
"2073",1
"2102",5
"1210",1
"185",4
"1493",5
"2365",1
"70",2
"969",1
"68",4
"2050",5
"2373",5
"1374",3
"1172",5
"1566",3
"1979",1
"477",2
"964",3
"2261",1
"49",1
"1957",1
"1081",5
"1991",1
"825",5
"1119",2
"946",3
"582",3
"391",1
"1327",3
"1315",3
"1847",1
"719",2
"2156",5
"1160",2
"2174",5
"1875",1
"2134",5
"2015",4
"1452",5
"2316",2
"2052",3
"1798",1
"168",5
"1551",2
"2319",1
"487",3
"29",4
"2140",2
"2229",5
"2037",4
"836",5
"2186",3
"597",2
"2393",5
"2031",5
"1630",4
"2372",3
"1489",4
"995",3
"925",1
"702",5
"2383",3
"460",1
"136",2
"608",2
"1652",3
"983",2
"2324",3
"878",3
"664",2
"536",3
"877",1
"273",5
"1696",2
"1100",1
"571",1
"16",2
"1754",3
"2290",1
"690",5
"895",1
"893",2
"748",1
"2235",3
"1735",1
"1475",5
"1111",5
"488",5
"21",2
"1516",3
"1352",1
"1069",2
"2201",5
"1086",5
"2165",3
"279",3
"1372",5
"926",2
"1825",1
"255",4
"37",1
"1337",4
"551",1
"2105",1
"1455",3
"1402",4
"1526",5
"1419",1
"1105",3
"1523",2
"1959",3
"76",2
"307",3
"66",1
"398",1
"1849",3
"2103",1
"1819",2
"205",3
"1182",2
"497",5
"1896",3
"1479",5
"560",5
"2108",1
"2339",1
"1380",2
"69",4
"790",2
"79",3
"1747",5
"1018",1
"1456",2
"63",5
"896",2
"2276",1
"1680",5
"675",1
"587",2
"1702",3
"1649",3
"395",1
"1950",3
"327",1
"1844",1
"171",5
"2249",1
"528",1
"1044",5
"1958",2
"1101",5
"1311",1
"1628",1
"1990",1
"749",1
"759",5
"50",2
"158",1
"2394",3
"693",5
"90",1
"917",3
"774",2
"2327",5
"1556",1
"1880",1
"1084",4
"1873",5
"392",2
"2217",4
"865",3
"1331",4
"695",1
"1302",3
"1465",4
"113",3
"227",3
"1902",5
"1878",5
"2059",3
"576",5
"97",4
"1820",3
"2220",5
"1709",1
"387",3
"1591",5
"471",1
"1695",3
"343",3
"199",5
"914",2
"325",4
"1473",2
"2311",1
"166",5
"805",1
"1152",1
"1024",5
"462",1
"855",2
"808",1
"709",2
"1273",3
"1956",2
"1401",4
"336",1
"686",2
"585",1
"1813",5
"1796",2
"1692",2
"2131",1
"19",2
"482",1
"346",1
"445",5
"449",2
"1889",4
"2163",1
"189",2
"594",2
"1718",3
"2054",2
"204",5
"2291",3
"2381",1
"1964",4
"1328",5
"1297",1
"1573",5
"954",1
"366",3
"1425",3
"2219",5
"1928",5
"665",1
"376",5
"1812",5
"1743",4
"1259",2
"2033",5
"831",3
"1432",4
"621",2
"1805",1
"1622",3
"1845",2
"2272",1
"2192",1
"638",1
"901",2
"112",1
"1002",2
"2003",1
"1416",2
"2112",1
"1590",4
"2234",3
"1739",1
"67",2
"188",5
"183",2
"32",1
"202",1
"1348",5
"755",5
"447",1
"1753",5
"1382",3
"1434",1
"253",1
"225",1
"2072",3
"609",1
"174",3
"643",1
"1244",5
"2028",1
"863",3
"1082",1
"1243",5
"338",2
"1491",5
"1254",4
"1947",3
"1821",3
"1388",3
"46",3
"1204",3
"1607",1
"1733",2
"203",1
"1444",3
"1124",5
"1852",4
"651",5
"1108",5
"881",2
"1042",1
"1358",3
"1759",5
"2058",5
"1836",3
"635",2
"559",1
"300",3
"2390",3
"1098",2
"148",3
"1409",2
"1022",3
"120",1
"971",3
"1653",2
"415",3
"685",1
"1420",5
"469",3
"661",1
"71",3
"81",1
"1855",1
"1226",5
"1594",1
"1977",1
"1582",1
"1983",1
"1496",5
"1621",1
"2032",1
"1013",1
"967",2
"681",2
"161",2
"1234",1
"1645",5
"1737",2
"1440",4
"14",3
"673",5
